,Invoice_ID,City,Product_line,Unit_price,Quantity,Date,Payment
32,640-49-2076,Mandalay,Sports and travel,83.78,8,02-06-2019,Cash
33,595-11-5460,Yangon,Health and beauty,96.58,2,03-06-2019,Credit card
34,183-56-6882,Naypyitaw,Food and beverages,99.42,4,04-06-2019,Ewallet
35,232-16-2483,Naypyitaw,Sports and travel,,0,05-06-2019,
36,129-29-8530,Yangon,Sports and travel,,0,06-06-2019,
37,272-65-1806,Yangon,Electronic accessories,,0,07-06-2019,
38,333-73-7901,Naypyitaw,Health and beauty,54.92,8,08-06-2019,Ewallet
39,777-82-7220,Mandalay,Home and lifestyle,30.12,8,09-06-2019,Cash
40,280-35-5823,Mandalay,Home and lifestyle,,0,10-06-2019,
41,554-53-8700,Naypyitaw,Home and lifestyle,56.11,2,11-06-2019,Cash
42,354-25-5821,Mandalay,Sports and travel,69.12,6,12-06-2019,Cash
43,228-96-1411,Naypyitaw,Food and beverages,98.7,8,13-06-2019,Cash
44,617-15-4209,Naypyitaw,Health and beauty,15.37,2,14-06-2019,Cash
45,132-32-9879,Mandalay,Electronic accessories,93.96,4,15-06-2019,Cash
46,370-41-7321,Mandalay,Health and beauty,,0,16-06-2019,
47,727-46-3608,Mandalay,Food and beverages,,0,17-06-2019,
48,669-54-1719,Mandalay,Electronic accessories,18.93,6,18-06-2019,Credit card
49,574-22-5561,Naypyitaw,Fashion accessories,82.63,10,19-06-2019,Ewallet
50,326-78-5178,Naypyitaw,Food and beverages,,0,20-06-2019,
51,162-48-8011,Yangon,Food and beverages,,0,21-06-2019,
52,616-24-2851,Mandalay,Fashion accessories,17.87,4,22-06-2019,Ewallet
53,778-71-5554,Naypyitaw,Fashion accessories,,0,23-06-2019,
54,242-55-6721,Mandalay,Home and lifestyle,16.16,2,24-06-2019,Ewallet
55,399-46-5918,Naypyitaw,Electronic accessories,85.98,8,25-06-2019,Cash
56,106-35-6779,Yangon,Home and lifestyle,44.34,2,26-06-2019,Cash
57,635-40-6220,Yangon,Health and beauty,89.6,8,27-06-2019,Ewallet
58,817-48-8732,Yangon,Home and lifestyle,72.35,10,28-06-2019,Cash
59,120-06-4233,Naypyitaw,Electronic accessories,30.61,6,29-06-2019,Cash
60,285-68-5083,Naypyitaw,Sports and travel,,0,30-06-2019,
61,803-83-5989,Naypyitaw,Home and lifestyle,55.73,6,01-07-2019,Ewallet
62,347-34-2234,Mandalay,Sports and travel,,0,02-07-2019,
63,199-75-8169,Yangon,Sports and travel,15.81,10,03-07-2019,Credit card
64,853-23-2453,Mandalay,Health and beauty,75.74,4,04-07-2019,Cash
65,877-22-3308,Yangon,Health and beauty,15.87,10,05-07-2019,Cash
66,838-78-4295,Naypyitaw,Health and beauty,33.47,2,06-07-2019,Ewallet
67,109-28-2512,Mandalay,Fashion accessories,97.61,6,07-07-2019,Ewallet
68,232-11-3025,Yangon,Sports and travel,78.77,10,08-07-2019,Cash
69,382-03-4532,Yangon,Health and beauty,,0,09-07-2019,
70,393-65-2792,Naypyitaw,Food and beverages,89.48,10,10-07-2019,Credit card
71,796-12-2025,Naypyitaw,Fashion accessories,62.12,10,11-07-2019,Cash
72,510-95-6347,Mandalay,Food and beverages,,0,12-07-2019,
73,841-35-6630,Naypyitaw,Electronic accessories,75.91,6,13-07-2019,Cash
74,287-21-9091,Yangon,Home and lifestyle,,0,14-07-2019,
75,732-94-0499,Naypyitaw,Electronic accessories,41.65,10,15-07-2019,Credit card
76,263-10-3913,Naypyitaw,Fashion accessories,,0,16-07-2019,
77,381-20-0914,Yangon,Fashion accessories,,0,17-07-2019,
78,829-49-1914,Naypyitaw,Food and beverages,78.31,10,18-07-2019,Ewallet
79,756-01-7507,Naypyitaw,Health and beauty,,0,19-07-2019,
80,870-72-4431,Naypyitaw,Health and beauty,99.19,6,20-07-2019,Credit card
81,847-38-7188,Mandalay,Food and beverages,,0,21-07-2019,
82,480-63-2856,Naypyitaw,Food and beverages,19.25,8,22-07-2019,Ewallet
83,787-56-0757,Naypyitaw,Food and beverages,80.36,4,23-07-2019,Credit card
84,360-39-5055,Naypyitaw,Sports and travel,,0,24-07-2019,
85,730-50-9884,Naypyitaw,Sports and travel,,0,25-07-2019,
86,362-58-8315,Naypyitaw,Fashion accessories,,0,26-07-2019,
87,633-44-8566,Yangon,Food and beverages,,0,27-07-2019,
88,504-35-8843,Yangon,Sports and travel,,0,28-07-2019,
89,318-68-5053,Mandalay,Health and beauty,76.99,6,29-07-2019,Cash
90,565-80-5980,Naypyitaw,Home and lifestyle,47.38,4,30-07-2019,Cash
91,225-32-0908,Naypyitaw,Sports and travel,44.86,10,31-07-2019,Ewallet
92,873-51-0671,Yangon,Sports and travel,,0,01-08-2019,
93,152-08-9985,Mandalay,Health and beauty,,0,02-08-2019,
94,512-91-0811,Naypyitaw,Health and beauty,,0,03-08-2019,
95,594-34-4444,Yangon,Electronic accessories,,0,04-08-2019,
96,766-85-7061,Mandalay,Health and beauty,87.87,10,05-08-2019,Ewallet
97,871-39-9221,Naypyitaw,Electronic accessories,12.45,6,06-08-2019,Cash
98,865-92-6136,Yangon,Food and beverages,,0,07-08-2019,
99,733-01-9107,Mandalay,Home and lifestyle,82.7,6,08-08-2019,Cash
100,163-56-7055,Naypyitaw,Fashion accessories,,0,09-08-2019,
101,189-98-2939,Naypyitaw,Fashion accessories,,0,10-08-2019,
102,551-21-3069,Naypyitaw,Electronic accessories,,0,11-08-2019,
103,212-62-1842,Yangon,Food and beverages,58.26,6,12-08-2019,Cash
104,716-39-1409,Mandalay,Health and beauty,,0,13-08-2019,
105,704-48-3927,Yangon,Electronic accessories,88.67,10,14-08-2019,Ewallet
106,628-34-3388,Naypyitaw,Fashion accessories,27.38,6,15-08-2019,Credit card
107,630-74-5166,Yangon,Sports and travel,62.13,6,16-08-2019,Cash
108,588-01-7461,Naypyitaw,Food and beverages,,0,17-08-2019,
109,861-77-0145,Naypyitaw,Electronic accessories,81.97,10,18-08-2019,Cash
110,479-26-8945,Mandalay,Sports and travel,16.49,2,19-08-2019,Ewallet
111,210-67-5886,Naypyitaw,Health and beauty,,0,20-08-2019,
112,227-78-1148,Mandalay,Fashion accessories,,0,21-08-2019,
113,645-44-1170,Yangon,Home and lifestyle,,0,22-08-2019,
114,237-01-6122,Naypyitaw,Home and lifestyle,,0,23-08-2019,
115,225-98-1496,Naypyitaw,Fashion accessories,,0,24-08-2019,
116,291-32-1427,Mandalay,Fashion accessories,,0,25-08-2019,
117,659-65-8956,Mandalay,Fashion accessories,,0,26-08-2019,
118,642-32-2990,Yangon,Food and beverages,10.96,10,27-08-2019,Ewallet
119,378-24-2715,Mandalay,Home and lifestyle,53.44,2,28-08-2019,Ewallet
120,638-60-7125,Yangon,Electronic accessories,99.56,8,29-08-2019,Credit card
121,659-36-1684,Naypyitaw,Sports and travel,,0,30-08-2019,
122,219-22-9386,Mandalay,Sports and travel,,0,31-08-2019,
123,336-78-2147,Naypyitaw,Home and lifestyle,63.91,8,01-09-2019,Credit card
124,268-27-6179,Mandalay,Fashion accessories,56.47,8,02-09-2019,Ewallet
125,668-90-8900,Yangon,Home and lifestyle,,0,03-09-2019,
126,870-54-3162,Yangon,Sports and travel,,0,04-09-2019,
127,189-08-9157,Naypyitaw,Fashion accessories,,0,05-09-2019,
128,663-86-9076,Naypyitaw,Food and beverages,68.54,8,06-09-2019,Ewallet
129,549-84-7482,Mandalay,Sports and travel,,0,07-09-2019,
130,191-10-6171,Mandalay,Fashion accessories,,0,08-09-2019,
131,802-70-5316,Yangon,Sports and travel,92.13,6,09-09-2019,Cash
132,695-51-0018,Mandalay,Sports and travel,34.84,4,10-09-2019,Cash
133,590-83-4591,Mandalay,Electronic accessories,87.45,6,11-09-2019,Credit card
134,483-71-1164,Naypyitaw,Health and beauty,81.3,6,12-09-2019,Ewallet
135,597-78-7908,Naypyitaw,Fashion accessories,,0,13-09-2019,
136,700-81-1757,Yangon,Electronic accessories,,0,14-09-2019,
137,354-39-5160,Yangon,Home and lifestyle,34.42,6,15-09-2019,Cash
138,241-72-9525,Mandalay,Sports and travel,51.91,10,16-09-2019,Cash
139,575-30-8091,Yangon,Sports and travel,72.5,8,17-09-2019,Ewallet
140,731-81-9469,Naypyitaw,Sports and travel,89.8,10,18-09-2019,Credit card
141,280-17-4359,Naypyitaw,Health and beauty,90.5,10,19-09-2019,Cash
142,338-65-2210,Naypyitaw,Health and beauty,68.6,10,20-09-2019,Cash
143,488-25-4221,Naypyitaw,Food and beverages,,0,21-09-2019,
144,239-10-7476,Yangon,Home and lifestyle,77.95,6,22-09-2019,Ewallet
145,458-41-1477,Naypyitaw,Health and beauty,46.26,6,23-09-2019,Credit card
146,685-64-1609,Yangon,Fashion accessories,30.14,10,24-09-2019,Ewallet
147,568-90-5112,Naypyitaw,Health and beauty,66.14,4,25-09-2019,Credit card
148,262-47-2794,Mandalay,Home and lifestyle,71.86,8,26-09-2019,Credit card
149,238-49-0436,Yangon,Health and beauty,32.46,8,27-09-2019,Credit card
150,608-96-3517,Mandalay,Fashion accessories,91.54,4,28-09-2019,Credit card
151,584-86-7256,Naypyitaw,Sports and travel,,0,29-09-2019,
152,746-94-0204,Yangon,Fashion accessories,,0,30-09-2019,
153,214-17-6927,Naypyitaw,Food and beverages,16.48,6,01-10-2019,Ewallet
154,400-89-4171,Naypyitaw,Sports and travel,80.97,8,02-10-2019,Cash
155,782-95-9291,Yangon,Food and beverages,,0,03-10-2019,
156,279-74-2924,Mandalay,Electronic accessories,,0,04-10-2019,
157,307-85-2293,Mandalay,Home and lifestyle,,0,05-10-2019,
158,743-04-1105,Mandalay,Health and beauty,,0,06-10-2019,
159,423-57-2993,Mandalay,Sports and travel,93.39,6,07-10-2019,Ewallet
160,894-41-5205,Naypyitaw,Food and beverages,43.18,8,08-10-2019,Credit card
161,275-28-0149,Yangon,Sports and travel,,0,09-10-2019,
162,101-17-6199,Yangon,Food and beverages,,0,10-10-2019,
163,423-80-0988,Naypyitaw,Sports and travel,76.4,2,11-10-2019,Ewallet
164,548-46-9322,Mandalay,Food and beverages,39.9,10,12-10-2019,Credit card
165,505-02-0892,Mandalay,Health and beauty,42.57,8,13-10-2019,Ewallet
166,234-65-2137,Naypyitaw,Home and lifestyle,95.58,10,14-10-2019,Cash
167,687-47-8271,Yangon,Fashion accessories,98.98,10,15-10-2019,Credit card
168,796-32-9050,Yangon,Food and beverages,51.28,6,16-10-2019,Cash
169,105-31-1824,Yangon,Sports and travel,,0,17-10-2019,
170,249-42-3782,Yangon,Health and beauty,,0,18-10-2019,
171,316-55-4634,Mandalay,Food and beverages,,0,19-10-2019,
172,733-33-4967,Naypyitaw,Electronic accessories,20.85,8,20-10-2019,Cash
173,608-27-6295,Mandalay,Electronic accessories,52.89,6,21-10-2019,Credit card
174,414-12-7047,Mandalay,Food and beverages,19.79,8,22-10-2019,Ewallet
175,827-26-2100,Yangon,Home and lifestyle,,0,23-10-2019,
176,175-54-2529,Yangon,Food and beverages,22.17,8,24-10-2019,Credit card
177,139-52-2867,Naypyitaw,Fashion accessories,,0,25-10-2019,
178,407-63-8975,Yangon,Food and beverages,73.88,6,26-10-2019,Ewallet
179,342-65-4817,Naypyitaw,Health and beauty,,0,27-10-2019,
180,130-98-8941,Naypyitaw,Fashion accessories,,0,28-10-2019,
181,434-83-9547,Naypyitaw,Food and beverages,38.47,8,29-10-2019,Cash
182,851-28-6367,Yangon,Sports and travel,15.5,10,30-10-2019,Ewallet
183,824-88-3614,Naypyitaw,Health and beauty,34.31,8,31-10-2019,Ewallet
184,586-25-0848,Yangon,Sports and travel,,0,01-11-2019,
185,895-66-0685,Mandalay,Food and beverages,,0,02-11-2019,
186,305-14-0245,Mandalay,Home and lifestyle,94.49,8,03-11-2019,Ewallet
187,732-04-5373,Mandalay,Home and lifestyle,46.47,4,04-11-2019,Cash
188,400-60-7251,Yangon,Home and lifestyle,,0,05-11-2019,
189,593-65-1552,Naypyitaw,Home and lifestyle,69.81,4,06-11-2019,Credit card
190,284-34-9626,Mandalay,Home and lifestyle,,0,07-11-2019,
191,437-58-8131,Mandalay,Fashion accessories,73.52,2,08-11-2019,Ewallet
192,286-43-6208,Naypyitaw,Food and beverages,,0,09-11-2019,
193,641-43-2399,Mandalay,Home and lifestyle,25.55,4,10-11-2019,Ewallet
194,831-07-6050,Yangon,Electronic accessories,,0,11-11-2019,
195,556-86-3144,Naypyitaw,Fashion accessories,,0,12-11-2019,
196,848-24-9445,Naypyitaw,Health and beauty,43.7,2,13-11-2019,Cash
197,856-22-8149,Yangon,Home and lifestyle,,0,14-11-2019,
198,699-01-4164,Naypyitaw,Health and beauty,41.5,4,15-11-2019,Credit card
199,420-11-4919,Naypyitaw,Food and beverages,,0,16-11-2019,
200,606-80-4905,Naypyitaw,Sports and travel,19.15,6,17-11-2019,Credit card
201,542-41-0513,Mandalay,Electronic accessories,57.49,4,18-11-2019,Cash
202,426-39-2418,Naypyitaw,Electronic accessories,,0,19-11-2019,
203,875-46-5808,Mandalay,Health and beauty,25.9,10,20-11-2019,Ewallet
204,394-43-4238,Mandalay,Home and lifestyle,,0,21-11-2019,
205,749-24-1565,Yangon,Health and beauty,,0,22-11-2019,
206,672-51-8681,Naypyitaw,Electronic accessories,,0,23-11-2019,
207,263-87-5680,Naypyitaw,Home and lifestyle,28.53,10,24-11-2019,Ewallet
208,573-58-9734,Mandalay,Fashion accessories,,0,25-11-2019,
209,817-69-8206,Mandalay,Electronic accessories,,0,26-11-2019,
210,888-02-0338,Yangon,Electronic accessories,,0,27-11-2019,
211,677-11-0152,Naypyitaw,Food and beverages,,0,28-11-2019,
212,142-63-6033,Mandalay,Home and lifestyle,,0,29-11-2019,
213,656-16-1063,Mandalay,Sports and travel,,0,30-11-2019,
214,891-58-8335,Mandalay,Sports and travel,,0,01-12-2019,
215,802-43-8934,Yangon,Home and lifestyle,,0,02-12-2019,
216,560-30-5617,Mandalay,Sports and travel,,0,03-12-2019,
217,319-74-2561,Yangon,Electronic accessories,,0,04-12-2019,
218,549-03-9315,Mandalay,Fashion accessories,94.87,8,05-12-2019,Ewallet
219,790-29-1172,Mandalay,Food and beverages,,0,06-12-2019,
220,239-36-3640,Mandalay,Electronic accessories,45.35,6,07-12-2019,Ewallet
221,468-01-2051,Mandalay,Food and beverages,,0,08-12-2019,
222,389-25-3394,Naypyitaw,Electronic accessories,,0,09-12-2019,
223,279-62-1445,Naypyitaw,Fashion accessories,,0,10-12-2019,
224,213-72-6612,Yangon,Food and beverages,43.25,2,11-12-2019,Cash
225,746-68-6593,Naypyitaw,Sports and travel,87.16,2,12-12-2019,Credit card
226,836-82-5858,Mandalay,Health and beauty,,0,13-12-2019,
227,583-72-1480,Naypyitaw,Electronic accessories,37.06,4,14-12-2019,Ewallet
228,466-61-5506,Mandalay,Electronic accessories,90.7,6,15-12-2019,Cash
229,721-86-6247,Yangon,Home and lifestyle,63.42,8,16-12-2019,Ewallet
230,289-65-5721,Mandalay,Fashion accessories,81.37,2,17-12-2019,Cash
231,545-46-3100,Mandalay,Electronic accessories,,0,18-12-2019,
232,418-02-5978,Mandalay,Health and beauty,,0,19-12-2019,
233,269-04-5750,Mandalay,Fashion accessories,73.82,4,20-12-2019,Cash
234,157-13-5295,Yangon,Health and beauty,51.94,10,21-12-2019,Ewallet
235,645-78-8093,Yangon,Sports and travel,93.14,2,22-12-2019,Ewallet
236,211-30-9270,Naypyitaw,Health and beauty,,0,23-12-2019,
237,755-12-3214,Naypyitaw,Fashion accessories,,0,24-12-2019,
238,346-84-3103,Mandalay,Electronic accessories,,0,25-12-2019,
239,478-06-7835,Yangon,Fashion accessories,,0,26-12-2019,
240,540-11-4336,Yangon,Food and beverages,,0,27-12-2019,
241,448-81-5016,Yangon,Health and beauty,59.77,2,28-12-2019,Credit card
242,142-72-4741,Naypyitaw,Fashion accessories,93.2,2,29-12-2019,Credit card
243,217-58-1179,Yangon,Home and lifestyle,62.65,4,30-12-2019,Cash
244,376-02-8238,Mandalay,Home and lifestyle,93.87,8,31-12-2019,Credit card
245,530-90-9855,Yangon,Home and lifestyle,47.59,8,01-01-2020,Cash
246,866-05-7563,Mandalay,Electronic accessories,,0,02-01-2020,
247,604-70-6476,Yangon,Fashion accessories,,0,03-01-2020,
248,799-71-1548,Yangon,Electronic accessories,77.72,4,04-01-2020,Credit card
249,785-13-7708,Mandalay,Food and beverages,,0,05-01-2020,
250,845-51-0542,Mandalay,Food and beverages,,0,06-01-2020,
251,662-47-5456,Naypyitaw,Fashion accessories,35.19,10,07-01-2020,Credit card
252,883-17-4236,Naypyitaw,Sports and travel,14.39,2,08-01-2020,Credit card
253,290-68-2984,Yangon,Home and lifestyle,23.75,4,09-01-2020,Cash
254,704-11-6354,Yangon,Home and lifestyle,58.9,8,10-01-2020,Cash
255,110-48-7033,Mandalay,Fashion accessories,32.62,4,11-01-2020,Cash
256,366-93-0948,Yangon,Electronic accessories,,0,12-01-2020,
257,729-09-9681,Yangon,Home and lifestyle,25.91,6,13-01-2020,Ewallet
258,151-16-1484,Yangon,Electronic accessories,32.25,4,14-01-2020,Ewallet
259,380-94-4661,Naypyitaw,Electronic accessories,65.94,4,15-01-2020,Credit card
260,850-41-9669,Yangon,Electronic accessories,,0,16-01-2020,
261,821-07-3596,Naypyitaw,Fashion accessories,16.45,4,17-01-2020,Ewallet
262,655-85-5130,Mandalay,Fashion accessories,38.3,4,18-01-2020,Cash
263,447-15-7839,Yangon,Sports and travel,22.24,10,19-01-2020,Cash
264,154-74-7179,Mandalay,Sports and travel,,0,20-01-2020,
265,253-12-6086,Yangon,Sports and travel,,0,21-01-2020,
266,808-65-0703,Naypyitaw,Home and lifestyle,35.47,4,22-01-2020,Credit card
267,571-94-0759,Mandalay,Food and beverages,74.6,10,23-01-2020,Cash
268,144-51-6085,Yangon,Home and lifestyle,70.74,4,24-01-2020,Credit card
269,731-14-2199,Yangon,Home and lifestyle,35.54,10,25-01-2020,Ewallet
270,783-09-1637,Mandalay,Sports and travel,,0,26-01-2020,
271,687-15-1097,Naypyitaw,Health and beauty,21.12,2,27-01-2020,Cash
272,126-54-1082,Yangon,Home and lifestyle,,0,28-01-2020,
273,633-91-1052,Yangon,Home and lifestyle,12.03,2,29-01-2020,Cash
274,477-24-6490,Mandalay,Health and beauty,99.71,6,30-01-2020,Ewallet
275,566-19-5475,Mandalay,Fashion accessories,,0,31-01-2020,
276,526-86-8552,Naypyitaw,Home and lifestyle,21.82,10,01-02-2020,Cash
277,376-56-3573,Naypyitaw,Fashion accessories,95.42,4,02-02-2020,Ewallet
278,537-72-0426,Naypyitaw,Fashion accessories,70.99,10,03-02-2020,Cash
279,828-61-5674,Yangon,Sports and travel,44.02,10,04-02-2020,Credit card
280,136-08-6195,Yangon,Home and lifestyle,69.96,8,05-02-2020,Credit card
281,523-38-0215,Naypyitaw,Home and lifestyle,,0,06-02-2020,
282,490-29-1201,Yangon,Sports and travel,,0,07-02-2020,
283,667-92-0055,Yangon,Health and beauty,99.83,6,08-02-2020,Ewallet
284,565-17-3836,Yangon,Health and beauty,47.67,4,09-02-2020,Cash
285,498-41-1961,Mandalay,Health and beauty,,0,10-02-2020,
286,593-95-4461,Naypyitaw,Home and lifestyle,,0,11-02-2020,
287,226-71-3580,Naypyitaw,Sports and travel,,0,12-02-2020,
288,283-79-9594,Mandalay,Food and beverages,,0,13-02-2020,
289,430-60-3493,Yangon,Home and lifestyle,,0,14-02-2020,
290,139-20-0155,Mandalay,Electronic accessories,40.3,10,15-02-2020,Credit card
291,558-80-4082,Naypyitaw,Electronic accessories,,0,16-02-2020,
292,278-97-7759,Yangon,Electronic accessories,,0,17-02-2020,
293,316-68-6352,Yangon,Food and beverages,36.36,2,18-02-2020,Cash
294,585-03-5943,Mandalay,Health and beauty,18.11,10,19-02-2020,Ewallet
295,211-05-0490,Naypyitaw,Electronic accessories,,0,20-02-2020,
296,727-75-6477,Naypyitaw,Electronic accessories,28.84,4,21-02-2020,Cash
297,744-02-5987,Yangon,Home and lifestyle,78.38,6,22-02-2020,Ewallet
298,307-83-9164,Yangon,Home and lifestyle,60.01,4,23-02-2020,Cash
299,779-06-0012,Naypyitaw,Home and lifestyle,,0,24-02-2020,
300,446-47-6729,Naypyitaw,Fashion accessories,99.82,2,25-02-2020,Credit card
301,573-10-3877,Mandalay,Health and beauty,,0,26-02-2020,
302,735-06-4124,Naypyitaw,Food and beverages,,0,27-02-2020,
303,439-54-7422,Yangon,Electronic accessories,51.19,4,28-02-2020,Credit card
304,396-90-2219,Mandalay,Electronic accessories,14.96,8,29-02-2020,Cash
305,411-77-0180,Yangon,Electronic accessories,,0,01-03-2020,
306,286-01-5402,Yangon,Sports and travel,,0,02-03-2020,
307,803-17-8013,Yangon,Home and lifestyle,88.79,8,03-03-2020,Cash
308,512-98-1403,Yangon,Electronic accessories,,0,04-03-2020,
309,848-42-2560,Yangon,Fashion accessories,81.91,2,05-03-2020,Cash
310,532-59-7201,Mandalay,Sports and travel,79.93,6,06-03-2020,Cash
311,181-94-6432,Naypyitaw,Fashion accessories,69.33,2,07-03-2020,Ewallet
312,870-76-1733,Yangon,Food and beverages,,0,08-03-2020,
313,423-64-4619,Yangon,Health and beauty,,0,09-03-2020,
